,Unnamed: 0,name,category,alignment,new_alignment
1550,69,trimester,BASELINE,0.20265257358551025,0.28011083602905273
1556,26,sewing,BASELINE,0.2131398320198059,0.3018661141395569
1560,60,flirt,BASELINE,0.21966513991355896,0.10872422903776169
1561,5,sisters,BASELINE,0.22231782972812653,0.35712727904319763
1564,3,daughters,BASELINE,0.22666166722774506,0.26753780245780945
1565,6,grandmother,BASELINE,0.22735053300857544,0.29397737979888916
1568,47,breasts,BASELINE,0.233614981174469,0.2852511405944824
1575,56,earrings,BASELINE,0.24364206194877625,0.24246619641780853
1579,0,she,BASELINE,0.258703887462616,0.6212790608406067
1582,21,feminist,BASELINE,0.2753332853317261,0.37014925479888916
1584,20,homemaker,BASELINE,0.2800230383872986,0.36019811034202576
1586,46,sassy,BASELINE,0.3025779128074646,0.3442333936691284
