,brand,alignment,bert_alignment,residual_bert_alignment
87,halco,-0.05916757445583915,-0.1430781130290773,-0.06872000066390202
88,cybernet,-0.05871864719054432,-0.08113935419521126,-0.11524333221434853
89,wrangler,-0.05862871443374172,-0.07563313142765876,0.0031903788847118877
90,coors,-0.05856701865915141,-0.016424054141231857,-0.015334405769877147
91,teledyne,-0.05855266361211986,-0.07744089047495664,-0.0261467447150723
92,optionshouse,-0.05850936714343796,-0.07508313879164283,-0.027342207606611574
93,rayovac,-0.0574256699381484,-0.06124082841689014,-0.10122993028273433
94,lee,-0.05719143082984447,-0.1369897419741661,-0.05912054545827999
95,revo,-0.055819688956622496,-0.09918470162807284,-0.08362572924505486
96,kontrolfreek,-0.055675889553896726,-0.07624707450071139,-0.007643520180453367
97,budweiser,-0.0552359350949342,0.01147548374990423,0.022929875772935142
98,coleman,-0.05504909699740968,-0.08745110303644994,0.00892847900759091
99,instone,-0.05476722775791768,-0.106855760581264,-0.12863292788389347
100,designa,-0.05418882221203149,0.008004060633462352,0.06548441935766244
101,rabobank,-0.053762587465566974,-0.09524235069659258,-0.12097716123170488
102,garrett,-0.053513004345920975,-0.13141512981861836,-0.0666237463175102
103,saft,-0.053488589677016585,-0.1134045608170036,-0.14466787689250693
104,amone,-0.05285755064002343,-0.06660845476476399,-0.0736745660753559
105,zoot,-0.05279859313740326,-0.07351507991555456,0.0050829547459078864
106,gotham,-0.052735519658326735,-0.06586434813256484,-0.018533295259535836
107,rapala,-0.05237339735392038,-0.05335540165489311,0.027642591637028834
108,hid,-0.05194464286660545,-0.018276828602535957,0.0389395530159445
109,slick,-0.05180597489190665,-0.10226302146705392,-0.07392298832640214
110,icon,-0.0517560510373277,-0.1065455328311894,-0.06647157455151129
111,fanatec,-0.05102147466622968,-0.09918891781143804,-0.025538683389518462
112,exxonmobil,-0.05038462017514042,-0.08825070903480124,-0.1305916430530328
113,htc,-0.050306153509265136,-0.168111979104284,-0.14249411045613095
114,miller,-0.050125416377218235,-0.11441231991858464,-0.11042450353001079
115,gamakatsu,-0.04991185538108085,-0.04817475816456028,0.010064694756627761
116,baccarat,-0.04953648199207422,-0.00028054872870371395,-0.09672463084811576
117,gabba,-0.04943567705790383,-0.03001865426035068,0.050290075910179685
118,valletta,-0.04858279173274646,0.03636778221459705,-0.061952435072851225
119,sporto,-0.047913809083496135,-0.11940558948676352,-0.428790482158587
120,goalpost,-0.04742443927793394,-0.1154589512321173,-0.013979199347154418
121,goldmoney,-0.04717332743691738,-0.009793393794039575,0.040150384154653336
122,duracell,-0.046998828528954886,-0.09306974854931183,-0.13214391962900945
123,vince,-0.04698534950122064,-0.14476329307626756,-0.06228534863778278
124,redfish,-0.046981190242738634,0.025333965036891844,-0.007608602941345608
125,bdi,-0.04681553691937517,-0.1219602808695177,-0.18036970084037274
126,gibson,-0.04610600065001519,-0.057813528777125436,-0.12477610884248753
127,wincraft,-0.045728056040506386,-0.06811638824838251,0.03629843279434124
128,bos,-0.04518068618679957,-0.19480915879536576,-0.1320802394983594
129,yuengling,-0.044636680722220996,-0.022129522831689015,-0.014790132021751414
130,unimas,-0.04445863835959354,-0.02914025127386522,0.0317978019749973
131,carlsberg,-0.04400322830300942,-0.06552889887773249,-0.06450793201509791
132,kuru,-0.0439458201604464,-0.09699977280078106,-0.05099053287885626
133,phillips,-0.0438212374659324,-0.1303404527664598,-0.15615042909453086
134,sensu,-0.043705406225181535,-0.03445627116654239,-0.4843042422168726
135,prosper,-0.04348787612866649,-0.11711339877498983,-0.13308422668095699
136,nielsen,-0.04347630061716433,-0.06892370383712673,-0.02212537183647742
137,betashares,-0.043344659637972384,-0.02454131108817582,0.027963879135234102
138,aldo,-0.043137910465919485,-0.2128175201123342,-0.4629402349317773
139,ascent,-0.04302043341518071,-0.00891209966176807,-0.03271028334401085
140,paleo,-0.04283104320799267,-0.0376735512287458,-0.06025669471137293
141,forex,-0.04272956304525392,-0.10535179499442757,-0.056217949171071965
142,puma,-0.04246150488105236,-0.038367839718779315,0.03564261906695805
143,credible,-0.04232704218446814,-0.12159681984867804,-0.12445140948255756
144,stash,-0.042264954517984864,-0.0494989680114912,-0.002432144256715488
145,dainese,-0.04171139488690344,-0.07904829315062409,0.00022827681233147847
146,cboe,-0.04126298626552155,-0.08635652625972667,-0.03660864218641527
147,telltale,-0.041244091703553656,-0.0908788114690743,-0.027666924922006543
148,marel,-0.04076081080079675,0.010722003982784263,-0.013584625601062213
149,viasat,-0.04039887597568469,-0.08733950908516795,-0.0691930265694044
150,netspend,-0.04030996308694426,-0.10637721633327357,-0.14179901254281235
151,epix,-0.04029449229335437,-0.055349384052523265,-0.02369062824572457
152,vanguard,-0.03997618343092689,-0.19751813787499922,-0.16682628873374933
153,sunbelt,-0.039950883181298434,-0.014907173167456432,-0.0185481668636049
154,uscf,-0.03979696257202248,-0.050414423864764406,-0.0017837080285383802
155,perkins,-0.03979529311959268,-0.04276489932404225,-0.06595970727216201
156,aig,-0.03938391215944504,-0.12579542687520456,-0.13526803133448384
157,costa,-0.039381570944150214,-0.07583699545068508,-0.061075024488336106
158,rogue,-0.03934786578182264,-0.02489282732632956,-0.017494560401089633
159,dreamland,-0.03910072324993722,-0.019695644878244677,-0.06614666547755203
160,evogen,-0.038723132887196365,0.1284692238427985,0.09104665875512305
161,reubens,-0.038463826016676056,-0.20934396217773116,-0.2055461880370335
162,admore,-0.03781109011166757,-0.11302680370764638,-0.055995126422200704
163,netseer,-0.037639847065308735,-0.10065686956270724,-0.04698451420151201
164,brims,-0.03741222679759962,-0.056071136270022436,-0.09332126492936621
165,otelco,-0.0373315156942429,-0.12492424136078253,-0.07724242380418872
166,kion,-0.037113732838135814,-0.15320091650441878,-0.170312865943314
167,thor,-0.037076475366341635,-0.19800595675168753,-0.11369242853228742
168,brewer,-0.03674183663599141,-0.121572799052439,-0.18666601661464421
169,niterider,-0.03660092866925961,-0.06379114874988759,0.05269156631004546
170,navigator,-0.035948431983768216,0.006318305584190942,-0.015070585848118772
171,wingstreet,-0.035759384231662916,0.0586958374576966,0.016147243156842184
172,newell,-0.03546816880596407,-0.078998820769804,0.02212596837410427
173,liddell,-0.03540257746562631,-0.09254897233426146,-0.16190955373590854
174,marten,-0.03530740603397915,-0.10933625568797782,-0.10788485598604282
175,emg,-0.034815873093522964,-0.13780967772746006,-0.08666905992938104
176,kangaroo,-0.0346332413792509,-0.04295440401907856,-0.06369840922348291
177,slingshot,-0.034389447321833314,-0.05650137487941651,-0.022077706512412903
178,steele,-0.034379587726427435,-0.1923087427572031,-0.17160443197816588
179,presidente,-0.034354298615679534,-0.11298557508365921,-0.09285707787369668
180,fireking,-0.03408218977972564,-0.06539351077353965,-0.0013563978541582238
181,corsair,-0.034048585675459105,-0.024659893778041387,0.03249558777736812
182,mcm,-0.033682990016228334,-0.12917974029526294,-0.274347143239351
183,stuart,-0.033562563724258004,-0.21928264125644648,-0.2652572224066844
184,dap,-0.032837368984198145,-0.15376949882852325,-0.1774537524600503
185,vianney,-0.032248249223415903,-0.1388380294666031,-0.19531418260516203
186,cortech,-0.031449483917739884,-0.10714317242361869,-0.01582919824100988
187,norris,-0.031385684527470765,-0.06631820612681519,0.011468370761305045
188,serengeti,-0.031231396292850818,-0.05610232537826954,-0.039179838754390156
189,kerusso,-0.031195204968190338,-0.11035019882008716,-0.01933465542845067
190,montrail,-0.03115652702682128,-0.0917116169575144,-0.04522937070298432
191,adams,-0.03068021181010592,-0.08016735896893051,-0.13190920888357494
192,amax,-0.030481854678275064,-0.08003353658434904,-0.08941669229351172
193,rauckman,-0.03042587463253966,-0.11614267279007918,-0.04232112840930127
194,troegs,-0.030376351955653587,-0.11354965355311666,-0.10339851160151207
195,blount,-0.030279614390270906,-0.09300433793525162,-0.19032016073494396
196,emerse,-0.030027414746984088,-0.0931469688076777,-0.03635189608716357
197,directv,-0.029908795983610136,-0.1716540128522847,-0.15105146489722301
198,mos,-0.02976885055634136,-0.14771914532052383,-0.14208604396005883
199,kaenon,-0.02976751645185877,-0.10076763295726608,-0.07652520562182258
200,gopro,-0.029607233664597745,-0.15571268280351408,-0.10509731048155037
201,revived,-0.029535850795101726,-0.08233568122402166,-0.10928090277776133
202,canon,-0.029446917892537037,-0.16165945104218224,-0.12300299525882447
203,pilz,-0.02944572505238805,-0.06899765834501963,-0.00319053316726436
204,comex,-0.029173853496626764,-0.07789920473506219,-0.08281878212143473
205,pinol,-0.029144985557189564,-0.07894731106612163,0.0003090792193370974
206,megapath,-0.028618761236566,-0.1275015260152176,-0.09321396745156627
207,senstar,-0.028381123522599538,-0.1912835961729507,-0.10892785384725184
208,mcdermott,-0.028359202489810567,-0.1373384636378456,-0.052468288744340875
209,biocell,-0.027537348973843512,-0.0914429289394863,-0.12819667924751255
210,latigo,-0.02741629833899464,-0.16355765196788521,-0.48214917489625575
211,paragon,-0.027156009809988838,-0.015441196028652992,0.040036768289239605
212,amstel,-0.027097196732663077,-0.12460128279710292,-0.10292841151431406
213,cremo,-0.0270429311592347,-0.110569274420457,0.16988137698780478
214,assos,-0.026799941826791945,-0.1681318054459949,-0.08421662967786024
215,barings,-0.026549508638680025,-0.09685673383593987,-0.04922402422128154
216,mojo,-0.026460372006241576,-0.0650742009923849,-0.09337076791821133
217,casper,-0.025465351484849352,-0.15344054104504612,-0.17878552124820946
218,zulutrade,-0.024963685907956886,-0.16054865140263824,-0.10456482911667972
219,airstream,-0.024711428823013727,-0.04077077214142377,0.04245567985627796
220,plateau,-0.024596388970679124,-0.15217385906362701,-0.11039558151757214
221,mhp,-0.0245482779093624,-0.11180628453281702,-0.15018822319189729
222,biblica,-0.02450703079744401,0.0525982546456211,0.026176528481690657
223,gatorz,-0.02423633985721989,-0.10563483085143086,-0.08203006763830412
224,bonefish,-0.023916984250819118,-0.0502833663178112,-0.06662256228048086
225,richards,-0.02384644937349658,-0.11548899025295524,-0.14040882636345656
226,aflac,-0.023571291082659776,-0.12000464513345956,-0.05353585216500304
227,catania,-0.02332619208572209,0.019099573652192878,-0.01583816498975762
228,probiogen,-0.02327576007298589,-0.0851802236704513,-0.11144921888630716
229,spartina,-0.023139073302955532,0.10583041036725277,-0.07040616712684057
230,fraser,-0.02303340542785889,-0.12011991746567367,-0.12221674656262571
231,fluke,-0.022897375893462368,0.021856948932320503,0.06777816608468307
232,armstrong,-0.022649015971585282,-0.11874061615995765,-0.08362741111867883
233,nitco,-0.02256252472738451,-0.11688481218495997,-0.07697433481650907
234,novatech,-0.022404235662727645,0.010098462720061329,0.09303258168288697
235,carlisle,-0.02165227221397617,-0.05412948468261898,0.04121658263488335
236,enzo,-0.021628641088505485,-0.13915637697653946,-0.15426163218203676
237,msi,-0.021520783036200482,-0.035121114494377194,-0.060775434366892304
238,cogeco,-0.021274873390989744,-0.1114772939845791,-0.001839983333968424
239,gamesa,-0.021210673366884782,-0.0672422221140125,-0.15568857129605285
240,eight,-0.021209015347278242,-0.014783477825481575,-0.054268372304947875
241,merengue,-0.020839311709085102,0.0066224137132154855,-0.1009885495744326
242,caliber,-0.020817558450945715,-0.12092537326649964,-0.05103327680535304
243,liquidnet,-0.02073211065668486,-0.09813320375532127,-0.053663891713790254
244,jaguarpc,-0.02060230518242816,-0.04676249100529671,-0.03952236652068632
245,halkbank,-0.02053518512659726,-0.07452819440682246,-0.033144906211307244
246,radiumone,-0.0204082606575816,0.032069057566338495,0.07589269927428167
247,thinkorswim,-0.02028398337990957,-0.03600785939795208,0.016858475496069076
248,sectra,-0.0201901098027944,-0.01393525538650578,0.051381155470518705
249,tradeweb,-0.02017605107768013,-0.075332230519676,-0.029406364034871412
250,epicor,-0.01994719913969741,-0.15495483204070504,-0.16340136935368887
251,mweb,-0.019936753601771898,-0.05876074088977253,-0.02231874328209601
252,experis,-0.019906219160982442,-0.060564295025573235,-0.05308781045126587
253,ely,-0.019757736863766404,-0.11419032863856377,-0.20840699618956404
254,maxwell,-0.019731477518720876,-0.1663862167664918,-0.18024480009054977
255,merlin,-0.019492011342750262,-0.11997832888136453,-0.11540968848054453
256,duduk,-0.019211226488649612,-0.1477361801431539,-0.23756272600687092
257,tulo,-0.01906526295892705,-0.10223485678522604,-0.13489655730259764
258,schneider,-0.01897966751394663,-0.1560612254965535,-0.16403317873094264
259,endura,-0.01893627315509096,0.12906515201708837,0.1926171956038168
260,levis,-0.018794667028478425,-0.19672247889047542,-0.1057975648820342
261,neustar,-0.01860670498457676,-0.11383422183018754,-0.06059643944249531
262,wgn,-0.018513226044682952,-0.06125528649398904,0.006330759466464813
263,marpac,-0.018259439589854758,-0.08809518003974094,-0.12446417124658964
264,milestones,-0.01820514269278775,-0.15260901459644974,-0.15386767114577174
265,elf,-0.017420303521889655,0.021990855490301373,-0.1274487426124803
266,salto,-0.017370534280555783,-0.0912760235527733,-0.013911587592971975
267,consilium,-0.017132069610387726,-0.07231358948846406,-0.0023500064947390995
268,gillette,-0.017049564863152178,-0.052905477827688466,0.2162445969140066
269,davids,-0.01681266345334491,-0.18250076477743846,-0.24514695005556472
270,moneycorp,-0.016775244339322568,-0.059367469478664336,-0.07424946229881191
271,netx,-0.01661977581867644,-0.12003486058236666,-0.11697141882202591
272,bugatti,-0.016534669969015404,0.04138248686940538,-0.05520810396281636
273,alessi,-0.016496144433977837,-0.09900209704766687,-0.11030906159543019
274,spidi,-0.016393800375513082,-0.10609760516086505,-0.025349855320314165
275,lectus,-0.016154034479269778,-0.16498684447465345,-0.1765525427589493
276,onity,-0.01595915996869522,-0.11873496701596083,-0.04518592276031583
277,tostitos,-0.015605784711355625,-0.10132637806889752,-0.13246699193389957
278,oakley,-0.015395979160889122,-0.057555717862067576,-0.04528754200907035
279,triconex,-0.015206336042787675,-0.08480310120316972,-0.01304054492632018
280,tunisian,-0.014877317875044219,-0.007726008075474516,-0.03920422235977834
281,philips,-0.014835549055972737,-0.07908043251566377,-0.014757186412409962
282,thrustmaster,-0.014823119979008969,-0.19367966262332237,-0.11893893516420817
283,sferra,-0.014808439790826088,-0.060484412935821304,-0.1391318720940816
284,outshine,-0.014659477681092237,-0.0027061244271574317,-0.10628645905022469
285,mara,-0.014517081542863115,0.0894344930755093,-0.2795688713761714
286,trademonster,-0.014270548338033588,-0.05101498071391731,-0.0013012666075836992
287,tecate,-0.014011566127470624,-0.02582618126170897,-0.019781500674716485
288,staunch,-0.01391005155317872,-0.12743040381695186,-0.1386635071277319
289,atkins,-0.013814192389540365,-0.13124301620934556,-0.15083270121591927
290,milwaukee,-0.013727340146094565,0.008916119590316143,0.07217541388430963
291,zubaz,-0.013576418526581016,-0.09076570441409908,-0.0051555640558498626
292,firstlight,-0.013295341100555243,0.01371964837810908,0.038849771772051477
293,protected,-0.013276768297222477,-0.05595763619755098,-0.03496284964660944
294,burton,-0.013262040004898258,-0.1333097972393675,-0.10324115509714404
295,nationwide,-0.013152088794518927,-0.07373901940720035,-0.02869924875750046
296,ktm,-0.013148066317860672,-0.0979520674483552,-0.014717972829430203
297,iberiabank,-0.012924745230121493,-0.03538474139924151,-0.04582572908768983
298,eatel,-0.012862505355148754,-0.15128026914807371,-0.037601849267879524
299,cm,-0.01233784381878297,-0.04379880470280178,0.030590254681179943
300,vans,-0.012287213991986084,-0.14235845745792933,-0.06657918315796624
301,reynolds,-0.012187372987044693,-0.1131189677566722,-0.14628135567619044
302,carax,-0.011911419442567885,-0.08095937135069368,-0.02871624204130902
303,limitless,-0.011658608900863766,-0.07940687728520072,-0.08932469171559122
304,filson,-0.011480190971039386,-0.12341904528834416,-0.034089405182294315
305,redhook,-0.011355777161759437,-0.011114413190049213,-0.005531031772782413
306,nadex,-0.011147660224545164,-0.10906569826232378,-0.061178513751439595
307,leibinger,-0.011102325110754013,-0.1199769655700556,-0.06625701771102256
308,malouf,-0.01087508963700208,-0.11550021602613231,-0.17618946151923676
309,ghr,-0.01084937467773396,-0.09814360221556839,-0.121983360851492
310,maingate,-0.010836462011329696,-0.1634305199435505,-0.11047610276964134
311,donek,-0.010825863082620672,-0.10239727575761823,-0.07036761856773142
312,oanda,-0.010817157899418624,-0.1009758663315457,-0.0475394676425004
313,bikeradar,-0.010648870650307434,-0.15144148978320707,-0.089565843807552
314,klondike,-0.010588913142096595,-0.008693039542266478,-0.13449589410955226
315,lg,-0.01037613800185608,-0.11928433964846638,-0.10865481591719939
316,advantech,-0.010360237910653393,-0.14685375291355784,-0.15075047318043538
317,labatt,-0.010231656129030906,-0.08484686216966346,-0.06757644284216197
318,sfr,-0.01016020695111859,-0.11931978315104302,-0.08015444755639528
319,impacto,-0.009856283816262038,-0.12462443632367828,-0.05245492230759184
320,roc,-0.009447644545967013,0.0061866708705051,-0.11019495902788237
321,qualisoy,-0.009087459480058577,-0.0665652309909143,-0.08610242107943547
322,castro,-0.008897326743386513,-0.16000222556574528,-0.098386408125864
323,rutherford,-0.008872670189836541,-0.08813103423824634,-0.01764165037314638
324,norman,-0.008841937858512812,-0.205936642755634,-0.1254767569604498
325,bono,-0.008816310335101593,-0.17544160076489052,-0.18023933633051537
326,blair,-0.008757689229189028,-0.03828849216963162,0.03573779429367261
327,hefty,-0.008480977018154142,-0.09101201153869001,-0.1134950600409301
328,buckeye,-0.0079353128047569,-0.02606341494521288,0.001843024810856908
329,secugen,-0.007893264622690141,-0.09572411689346852,-0.02071169288369676
330,airborne,-0.007871568680537542,-0.02726543055778039,-0.04806112250880392
331,deluxe,-0.007785087744947709,-0.11749436068089218,-0.12326215705890356
332,weider,-0.007724058134700719,-0.15234792178373407,-0.17338020765289264
333,lanco,-0.0076579820419847905,-0.12255035712739812,-0.13736420981524583
334,alitalia,-0.007451132815638312,0.03473238822691761,0.12669491816541859
335,telguard,-0.0074473213094067145,-0.1946594537175112,-0.1292827879331785
336,xfinity,-0.007208191062851826,-0.06557468199280087,-0.03240572735354308
337,garneau,-0.006752294084284825,-0.10607025843752338,-0.015408594248726882
338,belfonte,-0.006618852536407958,-0.03265740084986372,-0.14590903031239238
339,simulmedia,-0.006311990651089705,-0.0036265303151275068,0.053454339174760196
340,videojet,-0.0062007112528311105,-0.13364641213698428,-0.09084485705201872
341,amr,-0.006182161410092837,-0.16415173175600506,-0.12676194326321052
342,claro,-0.00614970067902039,-0.07896561002462955,-0.043018543627663886
343,airtel,-0.005862577429489439,-0.10568836205592148,-0.10312709712243302
344,macpac,-0.005781875837112975,-0.0870364932020781,0.018706824546306025
345,lalo,-0.0057224353267239505,-0.05435912966924633,-0.01656852957316935
346,flagship,-0.005539380608800937,-0.14958176422162311,-0.24096761800990577
347,izod,-0.00503761903706929,-0.15227909817700913,-0.056783896981263626
348,brooks,-0.004667985705778935,-0.06968390853771327,-0.03579863173011068
349,benihana,-0.0046625717116393715,-0.04130412433027956,-0.061310419255222307
350,moo,-0.004639883972331357,-0.058200060399074056,-0.005919344381147211
351,schoeps,-0.0044684169102539315,-0.08494882607069618,-0.20036283369794214
352,fuddruckers,-0.004451881259933602,-0.07367729956415028,-0.08645265945619177
353,imusa,-0.003930546028294527,0.2503198923430454,0.1313744355294887
354,alpinestars,-0.0037170830227395146,0.030178153678148648,0.09710183129549303
355,bofferding,-0.0029402974191378925,-0.09710856380045632,-0.08305596135016682
356,icehouse,-0.002814274537680311,-0.03356155275589478,-0.025965268766148776
357,mcdonalds,-0.0027656451524702423,-0.03170216032620739,-0.09278008467691876
358,tigre,-0.002710595004165928,-0.01882455495106644,0.042735825179705755
359,ires,-0.002650444481349268,-0.007445185064429274,0.002038911963149811
360,domaintools,-0.0025475578491810018,-0.08429827054449636,-0.09503426163839762
361,tru,-0.002173284012774341,-0.024104417378339356,-0.07353367718836827
362,taser,-0.0021582091368082847,-0.06671842947503494,-0.00176835583428913
363,cbn,-0.0021190707665713388,-0.08548680700466657,-0.10027771715048597
364,alienware,-0.0017266902555666402,0.008853820567356736,-0.018102101517262395
365,blundstone,-0.0017160107054151766,-0.07445728805401712,-0.4091775478555718
366,acme,-0.0016728126212569806,-0.10224201395284144,-0.039309353405519554
367,novus,-0.0016485604218497707,-0.11854042493567588,-0.460620839630161
368,enlightened,-0.0016285101010602952,-0.0341264081900906,-0.12982540562395464
369,soylent,-0.0016085365950104288,-0.0012673173311986072,-0.03169548893842371
370,chaco,-0.00154887145509347,-0.07905766531040344,-0.4240937315724521
371,whitewalls,-0.00149393328085963,-0.039298069173248094,-0.10512569478052738
372,vicon,-0.001436950427669499,-0.18577985844610873,-0.10850229815097792
373,partners,-0.001275477710772556,-0.050125626033788576,-0.13354834843396032
374,instinet,-0.0010449372607949786,-0.07244256128250598,-0.020755050999366465
375,nextgen,-0.0007968735581819207,-0.11421075212959513,-0.07187286193556179
376,polaris,-0.0006847581482587428,-0.006459550702889318,0.08937353490939574
377,direxion,-0.0006268305718914112,-0.1120166521390315,-0.06439025811681634
378,spectro,-0.0002873286840108097,-0.08283098340394818,-0.19902027113720175
379,corto,-0.0002672638986029128,-0.1312154203614393,-0.13687305319559634
380,mephisto,-0.0001445548681001663,-0.019261967560382707,0.011033807637918237
381,lews,-7.870766232511046e-05,-0.06860654270836362,-0.014137345555227113
382,citigroup,0.00018456610698389805,-0.11388397412562981,-0.08355304323680296
383,avery,0.00036971460424602143,-0.05900766515433278,-0.07732111906113252
384,aquis,0.00048751832743043963,-0.09951555401551021,-0.16270641721486337
385,eas,0.0005410724231509345,-0.11207209991382341,-0.13824485886512416
386,amberbock,0.0006672585692356277,0.007985147865369645,0.012096786813584094
387,gavina,0.0008207859575845238,0.18191676232153842,0.07998362859365324
